"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"anbuap",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"announcement",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"budget",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
"city",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"developmâ¦",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"madurai",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"news",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"park",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"rdelcot",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"regarding",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"sipcot",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"tech",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"tidel",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"â",4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0
"ecxslqtgjw",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"https",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"regardingâ¦",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"tco",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"arunjaitley",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"budgetâ¦",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"facts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"gfubctxz",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"iconic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"interesting",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"longest",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"shortest",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"speeches",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"analysts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"day",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"jan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"nifty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"pllscvgrk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"sensex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"share",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"strategy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"trading",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"bats",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"bill",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"cong",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"finance",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"govt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"irsndzhvwb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"leg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"oppn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"pass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"priority",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"says",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"second",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"session",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"today",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"unityâ¦",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
